Brand,Title,Price,Size,Reviews,Stars,Category,Colors 
bareMinerals,bareMinerals Matte Foundation Broad Spectrum SPF 15,$28.50,0.2 oz,7396 reviews,4.3889,Makeup>Face Makeup>Foundation>,Dark|Deepest Deep|Fair|Fairly Light|Fairly Medium|Golden Dark|Golden Deep|Golden Fair|Golden Medium|Golden Tan|Light|Medium|Medium Beige|Medium Dark|Medium Deep|Medium Tan|Tan|Warm Dark|Warm Deep|Warm Tan
MAKE UP FOR EVER,Pro Finish Multi-Use Powder Foundation,$36.00,0.35 oz,1191 reviews,3.9874,Makeup>Face Makeup>Foundation>,110 Pink Porcelain|113 Neutral Porcelain|115 Pink Ivory|117 Golden Ivory|118 Neutral Beige|120 Neutral Ivory|123 Golden Beige|125 Pink Beige|127 Golden Sand|128 Neutral Sand|140 Neutral Honey|155 Pink Honey|163 Neutral Camel|168 Golden Camel|170 Golden Amber|173 Neutral Amber|174 Neutral Saffron|175 Golden Caramel|177 Neutral Caramel|178 Neutral Brown|185 Neutral Ebony
NARS,Sheer Glow Foundation,$45.00,1 oz,2889 reviews,4.2579,Makeup>Face Makeup>Foundation>,Barcelona|Benares|Cadiz|Ceylan|Deauville|Fiji|Gobi|Khartoum|Macao|Mont Blanc|New Guinea|New Orleans|Punjab|Santa Fe|Siberia|Stromboli|Syracuse|Tahoe|Trinidad|Vallauris
Laura Mercier,Tinted Moisturizer Broad Spectrum SPF 20 - Oil Free,$44.00,1.7 oz,3668 reviews,4.3015,Makeup>Face Makeup>Tinted Moisturizer>,Almond|Bisque|Blush|Cameo|Caramel|Fawn|Mocha|Natural|Nude|Ochre|Porcelain|Sand|Tan|Tawny|Walnut
bareMinerals,Up Close & Beautiful: 30 Day Complexion Starter Kit,$22.00,,137 reviews,3.9197,Makeup>Face Makeup>Foundation Sets>,
bareMinerals,bareMinerals® Get Started® Kit,$49.00,,133 reviews,4.0677,Makeup>Face Makeup>Foundation Sets>,Fairly Light|Golden Tan|Light|Medium|Warm Deep
Cinema Secrets,Ultimate Foundation 5-in-1 Pro Palette™,$36.00,5 x 0.09 oz,13 reviews,4.8462,Makeup>Value & Gift Sets>Makeup Palettes>,100 Series|200 Series|300 Series|400 Series|500A Series|500B Series
Amazing Cosmetics,Amazing Concealer Flawless Face Kit,$47.00,,38 reviews,3.9737,Makeup>Face Makeup>Foundation Sets>,Caramel|Dark Beige|Deep Golden|Fair|Fair Golden|Golden Ivory|Light Beige|Medium Beige|Medium Golden|Tan  |Tan Golden
Benefit Cosmetics,How To Look The Best At Everything,$32.00,,859 reviews,3.9627,Makeup>Face Makeup>Foundation Sets>,
bareMinerals,bareMinerals READY® To Go Complexion Perfection Palette,$34.00,,169 reviews,4.0355,Makeup>Face Makeup>Foundation Sets>,R250- Medium Beige|R310- Medium Tan|R510- Golden Deep
Too Cool For School,Dinoplatz La Ola 4-in-1 Makeup Kit,$49.00,,5 reviews,3.4,Makeup>Face Makeup>BB Cream & CC Cream>,Noche &#35;23|Viento &#35;21
